nombre,equipo,posicion,precio
gabriel jesus,arsenal,delantero,8000000
bukayo saka,arsenal,mediocentro,7900000
gabriel martinelli,arsenal,mediocentro,6700000
william saliba,arsenal,defensa,5100000
granit xhaka,arsenal,mediocentro,5100000
martin odegaard,arsenal,mediocentro,6400000
gabriel magalhaes,arsenal,defensa,5100000
benjamin white,arsenal,defensa,4500000
aaron ramsdale,arsenal,portero,4900000
thomas partey,arsenal,mediocentro,4800000
oleksandr zinchenko,arsenal,defensa,5100000
kieran tierney,arsenal,defensa,4800000
fabio vieira,arsenal,mediocentro,5700000
eddie nketiah,arsenal,delantero,6500000
takehiro tomiyasu,arsenal,defensa,4200000
emile smith rowe,arsenal,mediocentro,5600000
thomas partey,arsenal,mediocentro,8000000
raheem sterling,chelsea,delantero,9900000
mason mount,chelsea,delantero,7600000
reece james,chelsea,defensa,6000000
thiago silva,chelsea,defensa,5400000
ben chilwell,chelsea,defensa,5800000
jorginho,chelsea,mediocentro,5900000
kai havertz,chelsea,delantero,7700000
kalidou koulibaly,chelsea,defensa,5500000
marc cucurella,chelsea,defensa,5100000
edouard mendy,chelsea,portero,4900000
christian pulicis,chelsea,mediocentro,5700000
cesar azpilicueta,chelsea,defensa,4800000
conor gallagher,chelsea,mediocentro,5700000
pierre-emerick aubameyang,chelsea,delantero,9100000
mateo kovacic,chelsea,mediocentro,4900000
kepa arrizabalaga,chelsea,portero,4400000
trevoh chalobah,chelsea,defensa,4700000
ngolo kante,chelsea,mediocentro,4800000
wesley fofana,chelsea,defensa,4400000
hakim ziyech,chelsea,mediocentro,5600000
roberto firmino,liverpool,delantero,8000000
mohamed salah,liverpool,delantero,12700000
luis diaz,liverpool,mediocentro,8000000
virgil van dijik,liverpool,defensa,6400000
trent alexander arnold,liverpool,defensa,7200000
alisson becker,liverpool,portero,5400000
fabio carvalho,liverpool,mediocentro,5400000
harvey elliott,liverpool,mediocentro,5000000
joe gomez,liverpool,defensa,4500000
darwin nuñez,liverpool,delantero,8800000
andrew robertson,liverpool,defensa,6700000
fabinho,liverpool,mediocentro,5300000
jordan henderson,liverpool,mediocentro,5300000
james milner,liverpool,mediocentro,4400000
konstantinos tsmikas,liverpool,defensa,4500000
diogo jota,liverpool,delantero,8900000
thiago alcantara,liverpool,mediocentro,5200000
joel matip,liverpool,defensa,5900000
ibrahima konate,liverpool,defensa,4800000
adrian del castillo,liverpool,portero,3900000
roberto firmino,liverpool,delantero,8000020
erling haaland,man city,delantero,12200000
phil foden ,man city,mediocentro,8200000
joa cancelo,man city,defensa,7300000
kevin debruyne,man city,mediocentro,12400000
bernardo silva,man city,mediocentro,6900000
ederson de moraes,man city,portero,5500000
ruben dias,man city,defensa,5900000
ikay gundogan,man city,mediocentro,7400000
rodrigo hernandez,man city,mediocentro,5700000
kyle walker,man city,defensa,4900000
nathan ake,man city,defensa,5000000
john stones,man city,defensa,5400000
riyad mahrez,man city,mediocentro,7500000
julian alvarez,man city,delantero,6100000
jack grealish,man city,mediocentro,6800000
manuel akanji,man city,defensa,5000000
sergio gomez,man city,defensa,4500000
aymeric laporte,man city,defensa,5800000
kalvin phillips,man city,mediocentro,4800000
marcus rashford,man utd,mediocentro,6500000
jadon sancho,man utd,mediocentro,7300000
bruno fernandes,man utd,mediocentro,9800000
diogo dalot,man utd,defensa,4500000
david de gea,man utd,portero,4900000
christian eriksen,man utd,mediocentro,6300000
antony dos santos,man utd,mediocentro,7600000
anthont martial,man utd,delantero,6800000
raphael varane,man utd,defensa,4800000
tyrell malacia,man utd,defensa,4500000
cristiano ronaldo,man utd,delantero,10200000
lisandro martinez,man utd,defensa,4500000
anthony elanga,man utd,mediocentro,4800000
scott mctominay,man utd,mediocentro,4900000
casemiro,man utd,mediocentro,4900000
fred,man utd,mediocentro,5100000
donny van de beek,man utd,mediocentro,5100000
victor lindelof,man utd,defensa,4300000
alejandro garnacho,man utd,mediocentro,4300000
luke shaw,man utd,defensa,4700000
aaron wan bissaka,man utd,defensa,4300000
harry kane,spurs,delantero,11400000
pierre emile hojberg,spurs,mediocentro,11400001
heung min son,spurs,mediocentro,11800000
hugo lloris,spurs,portero,5500000
eric dier,spurs,defensa,5200000
ivan perisic,spurs,defensa,5500000
rodrigo betancur,spurs,mediocentro,5400000
dejan kulusevski,spurs,mediocentro,8000000
ben davies,spurs,defensa,4900000
emerson royal,spurs,defensa,5000000
ryan sessegnon,spurs,defensa,4500000
cristian romero,spurs,defensa,4900000
richarlison,spurs,delantero,8500000
davinson sanchez,spurs,defensa,4400000
matt doherty,spurs,defensa,4600000
yves bissouma,spurs,mediocentro,4700000
clement lenglet,spurs,defensa,4800000
lucas moura,spurs,mediocentro,5800000
liver skipp,spurs,mediocentro,4400000
djed spence,spurs,defensa,4200000
japhet tanganga,spurs,defensa,3900000
